model_id,provider,mode,mode_label,completed_tracks,coverage,mean_score,coverage_adjusted_score,human_effect_category_macro_f1,human_effect_evidence_accuracy,human_effect_overclaim_penalty,binding_rank_spearman,binding_rank_kendall,binding_rank_pairwise_accuracy,pose_contact_precision,pose_contact_recall,pose_contact_f1,structure_score,structure_rmsd_status,total_cases_attempted,total_cases_completed,invalid_json_count,api_error_count,total_cost_estimate_if_available,run_timestamp,benchmark_release,evaluator_commit,is_baseline,competitive,scored,fallback_prediction_count,unresolved_provider_error_count,unresolved_invalid_json_count,row_status,status,leaderboard_status,retry_recovered_count,retry_still_failed_count
qwen/qwen3.7-max,qwen,base,Base,"[""human_effect"", ""binding_rank""]","{""binding_rank"": {""attempted"": 25, ""completed"": 25}, ""human_effect"": {""attempted"": 200, ""completed"": 200}}",0.5990265850542548,0.5990265850542548,0.5794466403162055,0.925,0,0.004217151505710021,-0.005617049617049623,0.4771914751914752,,,,,,225,225,0,0,0.0,2026-07-09T00:40:30Z,peb-v1.0-rc,1858b4d2655d,False,True,True,0,0,0,clean_completed,clean,clean_completed,0,0
qwen/qwen3.7-max,qwen,tools_high_reasoning,Tools + high reasoning,"[""human_effect"", ""binding_rank"", ""pose"", ""structure""]","{""binding_rank"": {""attempted"": 25, ""completed"": 25}, ""human_effect"": {""attempted"": 200, ""completed"": 200}, ""pose"": {""attempted"": 25, ""completed"": 25}, ""structure"": {""attempted"": 200, ""completed"": 200}}",0.4073059851871859,0.4073059851871859,0.7114898989898991,1.0,0,-0.019823490961878056,0.0047716727716727745,0.4823858363858365,0.0,0.0,0.0,,not_computed,450,450,0,0,0.0,2026-07-09T00:40:30Z,peb-v1.0-rc,1858b4d2655d,False,True,True,0,0,0,clean_completed,clean,clean_completed,0,0
meta-llama/llama-4-maverick,meta-llama,base,Base,"[""human_effect"", ""binding_rank""]","{""binding_rank"": {""attempted"": 25, ""completed"": 25}, ""human_effect"": {""attempted"": 200, ""completed"": 200}}",0.715398733449231,0.715398733449231,0.6488311688311689,1.0,0,0.26396406657003735,0.2061116661116661,0.583055833055833,,,,,,225,225,0,0,0.0,2026-07-09T00:40:30Z,peb-v1.0-rc,1858b4d2655d,False,True,True,0,0,0,clean_completed,clean,clean_completed,0,0
meta-llama/llama-4-maverick,meta-llama,tools_high_reasoning,Tools + high reasoning,"[""human_effect"", ""binding_rank"", ""pose"", ""structure""]","{""binding_rank"": {""attempted"": 25, ""completed"": 25}, ""human_effect"": {""attempted"": 200, ""completed"": 200}, ""pose"": {""attempted"": 25, ""completed"": 25}, ""structure"": {""attempted"": 200, ""completed"": 200}}",0.45556892912319213,0.45556892912319213,0.3533777711867408,1.0,0,0.26396406657003735,0.2061116661116661,0.583055833055833,0.0,0.0,0.0,,not_computed,450,450,0,0,0.0,2026-07-09T00:40:30Z,peb-v1.0-rc,1858b4d2655d,False,True,True,0,0,0,clean_completed,clean,clean_completed,0,0
mistralai/mistral-medium-3-5,mistralai,base,Base,"[""human_effect"", ""binding_rank""]","{""binding_rank"": {""attempted"": 25, ""completed"": 25}, ""human_effect"": {""attempted"": 200, ""completed"": 200}}",0.6923641014145989,0.6923641014145989,0.7684848484848484,1.0,0,0.26396406657003735,0.2061116661116661,0.583055833055833,,,,,,225,225,0,0,0.0,2026-07-09T00:40:30Z,peb-v1.0-rc,1858b4d2655d,False,True,True,0,0,0,clean_completed,clean,clean_completed,0,0
mistralai/mistral-medium-3-5,mistralai,tools_high_reasoning,Tools + high reasoning,"[""human_effect"", ""binding_rank"", ""pose"", ""structure""]","{""binding_rank"": {""attempted"": 25, ""completed"": 25}, ""human_effect"": {""attempted"": 200, ""completed"": 200}, ""pose"": {""attempted"": 25, ""completed"": 25}, ""structure"": {""attempted"": 200, ""completed"": 200}}",0.38042118154666693,0.38042118154666693,0.2875,1.0,0,-0.03474962349088619,-0.02633455433455434,0.46683272283272276,0.0,0.0,0.0,,not_computed,450,450,0,0,0.0,2026-07-09T00:40:30Z,peb-v1.0-rc,1858b4d2655d,False,True,True,0,0,0,clean_completed,clean,clean_completed,0,0
inclusionai/ling-2.6-flash,inclusionai,base,Base,"[""human_effect"", ""binding_rank""]","{""binding_rank"": {""attempted"": 25, ""completed"": 25}, ""human_effect"": {""attempted"": 200, ""completed"": 200}}",0.4250399389894414,0.4250399389894414,0.32222222222222224,0.475,0,-0.26396406657003735,-0.2061116661116661,0.37694416694416694,,,,,,225,225,0,0,0.0,2026-07-09T00:40:30Z,peb-v1.0-rc,1858b4d2655d,False,True,True,0,0,0,clean_completed,clean,clean_completed,0,0
inclusionai/ling-2.6-flash,inclusionai,tools_high_reasoning,Tools + high reasoning,"[""human_effect"", ""binding_rank"", ""pose"", ""structure""]","{""binding_rank"": {""attempted"": 25, ""completed"": 25}, ""human_effect"": {""attempted"": 200, ""completed"": 200}, ""pose"": {""attempted"": 25, ""completed"": 25}, ""structure"": {""attempted"": 200, ""completed"": 200}}",0.30039699636333134,0.30039699636333134,0.45277777777777783,0.475,0,-0.26396406657003735,-0.2061116661116661,0.37694416694416694,0.0,0.0,0.0,,not_computed,450,450,0,0,0.0,2026-07-09T00:40:30Z,peb-v1.0-rc,1858b4d2655d,False,True,True,0,0,0,clean_completed,clean,clean_completed,0,0
binding_rank_random,baseline,baseline,Baseline,"[""binding_rank""]","{""binding_rank"": {""attempted"": 25, ""completed"": 25}}",0.45758000302300134,,,,,-0.08046115180316175,-0.06702941502941503,0.44648529248529234,,,,,,25,25,0,0,0.0,2026-07-09T00:40:30Z,peb-v1.0-rc,1858b4d2655d,True,False,False,0,0,0,noncompetitive_baseline,baseline,noncompetitive_baseline,,
human_effect_non_oracle,baseline,baseline,Baseline,"[""human_effect""]","{""human_effect"": {""attempted"": 200, ""completed"": 200}}",0.4444444444444444,,0.32222222222222224,0.875,25,,,,,,,,,200,200,0,0,0.0,2026-07-09T00:40:30Z,peb-v1.0-rc,1858b4d2655d,True,False,False,0,0,0,noncompetitive_baseline,baseline,noncompetitive_baseline,,
pose_contact_reference,baseline,baseline,Baseline,"[""pose""]","{""pose"": {""attempted"": 25, ""completed"": 25}}",0.05241576899232032,,,,,,,,1.0,0.026913223139622775,0.05241576899232032,,,25,25,0,0,0.0,2026-07-09T00:40:30Z,peb-v1.0-rc,1858b4d2655d,True,False,False,0,0,0,noncompetitive_baseline,baseline,noncompetitive_baseline,,
structure_reference,baseline,baseline,Baseline,"[""structure""]","{""structure"": {""attempted"": 200, ""completed"": 200}}",,,,,,,,,,,,,not_computed,200,200,0,0,0.0,2026-07-09T00:40:30Z,peb-v1.0-rc,1858b4d2655d,True,False,False,0,0,0,noncompetitive_baseline,baseline,noncompetitive_baseline,,
human_effect_oracle_sanity_check,baseline,sanity_check,Sanity check,"[""human_effect""]","{""human_effect"": {""attempted"": 200, ""completed"": 200}}",1.0,,1.0,1.0,0,,,,,,,,,200,200,0,0,0.0,2026-07-09T00:40:30Z,peb-v1.0-rc,1858b4d2655d,True,False,False,0,0,0,noncompetitive_oracle,"baseline, non-competitive",noncompetitive_oracle,,
